Timestamp,"1. Consent I confirm that I am 18 years or older, currently enrolled or graduated in a university or tertiary institution in New Zealand, and I voluntarily consent to participate in this survey.",Age group:,Gender:,Type of Institution:,Programme of study:,Year of study:,I understand what phishing is.,I can recognise a phishing email or message when I see one.,I know what two-factor authentication (2FA) is and why it is used.,I understand what malware is and how it functions.,I am familiar with what a Virtual Private Network (VPN) does.,I know best practices for creating strong and secure passwords.,I understand the risks of using public Wi-Fi without additional protections.,I use a unique password for each of my important online accounts.,I regularly update the software and applications on my devices.,I enable two-factor authentication (2FA) on accounts whenever possible.,I avoid clicking links or opening attachments from unknown or suspicious emails.,I review app permissions and only allow access to what is necessary.,I back up important files regularly to a secure location.,I use a VPN or other protections when accessing public Wi-Fi for sensitive tasks.,I feel confident in my ability to detect online scams and phishing attempts.,I am concerned about the privacy and security of my personal information online.,I believe cybersecurity knowledge is important for my academic and professional life.,I believe my current online practices are sufficient to protect me from most cyber threats.,I would attend a workshop on practical cybersecurity skills if my institution offered one.,"I have received formal cybersecurity training (e.g., course, workshop, or module) during my studies.",My institution provides adequate information on how to stay safe online.,I prefer to learn about cybersecurity through:,Knowledge_Score,Practice_Score,Attitude_Score,Overall_Cybersecurity_Score
2025/10/13 11:32:02 PM GMT+13,Yes,27-35,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,4,5,3,3,5,4,4,4,4,4,4,4,2,4,4,5,4,4,No,3,In-person workshops,4.142857142857143,3.7142857142857144,4.2,4.019047619047619
2025/10/14 11:31:43 AM GMT+13,Yes,24-26,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,5,5,5,4,5,3,3,4,3,5,5,3,4,5,5,5,2,5,Yes;No,2,In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns,4.571428571428571,3.857142857142857,4.4,4.276190476190476
2025/10/14 2:12:00 PM GMT+13,Yes,35 or Over,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,4,3,4,4,4,4,4,3,4,4,5,4,4,4,3,4,4,3,4,Yes,3,Awareness campaigns,3.857142857142857,4.0,3.6,3.8190476190476192
2025/10/14 2:12:09 PM GMT+13,Yes,27-35,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,4,4,4,4,5,5,1,5,4,1,1,3,5,5,5,5,3,5,Yes,4,Awareness campaigns,4.428571428571429,2.857142857142857,4.6,3.961904761904762
2025/10/14 2:29:17 PM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,1,5,5,5,5,5,5,5,5,5,5,5,4,4,1,4,5,5,4,4,Yes,4,Online self-paced tutorials,5.0,4.142857142857143,4.4,4.514285714285714
2025/10/14 2:34:31 PM GMT+13,Yes,24-26,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,4,5,3,3,4,4,2,3,5,5,4,4,4,3,4,4,4,3,Yes,2,Online self-paced tutorials;Short accredited courses,4.0,3.857142857142857,3.6,3.8190476190476192
2025/10/14 2:35:57 PM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,4,Yes,4,In-person workshops;Online self-paced tutorials,5.0,4.571428571428571,4.6,4.723809523809524
2025/10/14 2:48:22 PM GMT+13,Yes,35 or Over,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,5,5,4,5,4,5,1,5,5,5,2,5,5,5,5,5,4,1,No,3,Online self-paced tutorials,4.714285714285714,4.0,4.0,4.238095238095238
2025/10/14 3:35:23 PM GMT+13,Yes,24-26,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,3,4,3,3,3,5,3,3,3,2,5,2,2,2,1,5,5,1,5,No,1,In-person workshops,3.4285714285714284,2.7142857142857144,3.4,3.1809523809523808
2025/10/14 4:09:52 PM GMT+13,Yes,35 or Over,Male,University,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,4,5,4,5,5,5,5,4,5,5,5,5,3,4,5,5,3,3,No,3,In-person workshops,4.714285714285714,4.571428571428571,4.0,4.428571428571428
2025/10/14 7:38:47 PM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,4,3,2,2,5,4,4,2,2,2,4,4,3,1,4,3,4,4,2,No,2,Online self-paced tutorials,3.4285714285714284,2.5714285714285716,3.4,3.1333333333333333
2025/10/14 7:42:55 PM GMT+13,Yes,35 or Over,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,4,5,3,4,4,4,4,3,4,4,3,3,3,4,4,4,3,3,Yes,4,In-person workshops,4.142857142857143,3.4285714285714284,3.6,3.7238095238095235
2025/10/14 7:43:28 PM GMT+13,Yes,27-35,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,No,3,Online self-paced tutorials,3.7142857142857144,4.142857142857143,3.8,3.885714285714286
2025/10/14 8:19:46 PM GMT+13,Yes,35 or Over,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,4,4,5,3,4,4,4,4,3,5,5,4,4,2,3,4,5,3,5,No,2,In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns,4.0,3.857142857142857,4.0,3.9523809523809526
2025/10/14 8:30:11 PM GMT+13,Yes,35 or Over,Female,Polytechnic (Institute of Technology)/Tertiary,Bachelor's Degree,2,3,2,5,4,5,5,5,3,2,3,5,4,2,2,3,5,4,3,1,No,3,Online self-paced tutorials;Short accredited courses;Awareness campaigns,4.142857142857143,3.0,3.2,3.447619047619048
2025/10/14 8:39:49 PM GMT+13,Yes,27-35,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,3,3,2,3,4,4,3,4,3,3,3,4,4,3,3,3,4,3,4,No,5,In-person workshops,3.142857142857143,3.4285714285714284,3.4,3.323809523809524
2025/10/14 8:44:06 PM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,3,5,5,2,5,5,5,5,2,3,4,2,2,4,5,5,5,5,No,3,In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns,4.285714285714286,3.2857142857142856,4.8,4.123809523809523
2025/10/14 9:36:25 PM GMT+13,Yes,24-26,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,5,5,5,4,5,4,4,4,4,4,3,3,3,4,5,5,4,5,Yes,3,In-person workshops;Online self-paced tutorials;Awareness campaigns,4.714285714285714,3.5714285714285716,4.6,4.295238095238095
2025/10/14 9:59:18 PM GMT+13,Yes,24-26,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,1,4,3,4,4,4,4,5,3,4,5,4,4,3,4,4,4,3,4,3,No,3,In-person workshops;Short accredited courses,4.0,3.857142857142857,3.6,3.8190476190476192
2025/10/14 10:22:26 PM GMT+13,Yes,27-35,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,4,5,3,3,5,5,5,3,5,5,4,1,3,4,4,4,4,4,Yes,4,Online self-paced tutorials;Awareness campaigns,4.285714285714286,3.7142857142857144,4.0,4.0
2025/10/15 8:08:31 AM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,Yes,1,Online self-paced tutorials,4.857142857142857,4.428571428571429,5.0,4.761904761904762
2025/10/15 12:11:18 PM GMT+13,Yes,27-35,Male,University,Bachelor's Degree,3,5,5,5,5,5,5,5,3,5,5,5,5,5,3,3,5,5,5,5,No,4,In-person workshops,5.0,4.428571428571429,4.6,4.6761904761904765
2025/10/15 11:52:09 PM GMT+13,Yes,35 or Over,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,3,4,4,3,3,4,4,2,5,4,4,4,4,3,3,4,4,4,3,No,3,Online self-paced tutorials,3.5714285714285716,3.7142857142857144,3.6,3.6285714285714286
2025/10/16 7:32:22 AM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,4,4,3,3,4,5,4,5,2,4,4,4,3,4,5,5,4,3,No,2,In-person workshops,4.0,3.7142857142857144,4.2,3.9714285714285715
2025/10/16 7:51:24 AM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,4,3,2,3,4,5,4,5,2,3,4,4,3,4,5,5,4,5,No,1,In-person workshops,3.7142857142857144,3.5714285714285716,4.6,3.961904761904762
2025/10/16 9:14:13 AM GMT+13,Yes,35 or Over,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,5,5,5,5,5,5,4,5,4,5,5,4,3,5,4,5,5,5,No,5,Short accredited courses,5.0,4.285714285714286,4.8,4.695238095238095
2025/10/18 2:32:41 PM GMT+13,Yes,24-26,Prefer not to say,Polytechnic (Institute of Technology)/Tertiary,Bachelor's Degree,2,4,3,4,3,4,4,4,3,5,5,5,5,4,2,2,4,5,3,5,No,3,In-person workshops;Short accredited courses;Awareness campaigns,3.7142857142857144,4.142857142857143,3.8,3.885714285714286
2025/10/18 2:36:35 PM GMT+13,Yes,21-23,Male,Polytechnic (Institute of Technology)/Tertiary,Bachelor's Degree,3,5,5,5,5,5,5,5,2,5,5,5,5,3,1,5,5,5,3,3,Yes,4,In-person workshops;Online self-paced tutorials;Short accredited courses,5.0,3.7142857142857144,4.2,4.304761904761905
2025/10/18 2:42:38 PM GMT+13,Yes,27-35,Male,University,Bachelor's Degree,Graduate/Postgraduate,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,3,5,4,5,Yes,2,Online self-paced tutorials;Awareness campaigns,4.857142857142857,4.714285714285714,4.2,4.590476190476191
2025/10/18 4:36:33 PM GMT+13,Yes,24-26,Female,Polytechnic (Institute of Technology)/Tertiary,Bachelor's Degree,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,Yes,5,In-person workshops;Online self-paced tutorials,5.0,5.0,4.8,4.933333333333334
2025/10/18 5:01:45 PM GMT+13,Yes,27-35,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,4,5,5,4,5,5,4,4,3,4,4,3,3,4,4,5,4,5,No,4,In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns,4.714285714285714,3.5714285714285716,4.4,4.228571428571429
2025/10/18 6:44:49 PM GMT+13,Yes,27-35,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,4,4,4,3,3,5,4,4,1,4,5,5,5,1,4,5,3,4,3,No,4,Short accredited courses,3.857142857142857,3.5714285714285716,3.8,3.7428571428571424
2025/10/18 7:35:54 PM GMT+13,Yes,21-23,Female,Polytechnic (Institute of Technology)/Tertiary,Bachelor's Degree,3,3,4,4,5,4,5,5,5,5,4,4,4,5,2,3,5,5,4,4,Yes,1,Online self-paced tutorials,4.285714285714286,4.142857142857143,4.2,4.20952380952381
2025/10/18 8:13:10 PM GMT+13,Yes,27-35,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,5,5,5,5,5,5,5,3,5,5,5,3,3,3,5,3,5,4,3,No,3,Online self-paced tutorials,5.0,3.857142857142857,4.0,4.285714285714286
2025/10/18 8:32:16 PM GMT+13,Yes,21-23,Female,University,Bachelor's Degree,3,4,3,5,1,2,2,4,3,1,1,5,3,1,1,3,3,3,1,3,No,2,In-person workshops;Online self-paced tutorials,3.0,2.142857142857143,2.6,2.5809523809523807
2025/10/19 5:48:37 AM GMT+13,Yes,27-35,Male,University,Postgraduate Diploma/Master's,1,5,5,5,2,3,4,3,2,4,5,5,3,3,1,5,4,3,4,3,No,1,Online self-paced tutorials,3.857142857142857,3.2857142857142856,3.8,3.6476190476190475
2025/10/20 4:44:39 AM GMT+13,Yes,27-35,Female,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,2,3,2,5,3,5,2,4,2,3,1,4,5,3,1,2,4,5,3,5,No,3,In-person workshops;Short accredited courses,3.4285714285714284,2.7142857142857144,3.8,3.3142857142857145
2025/10/20 1:47:57 PM GMT+13,Yes,21-23,Male,Polytechnic (Institute of Technology)/Tertiary,Certificate/Diploma,2,5,4,1,4,5,5,5,1,5,5,5,5,5,1,5,5,5,3,5,No,5,Online self-paced tutorials,4.142857142857143,3.857142857142857,4.6,4.2
2025/10/23 4:24:07 PM GMT+13,Yes,27-35,Female,University,Certificate/Diploma,Graduate/Postgraduate,4,4,4,4,4,4,5,1,4,3,5,4,1,3,2,4,3,2,4,No,3,Online self-paced tutorials,4.142857142857143,3.0,3.0,3.380952380952381
2025/10/23 4:28:55 PM GMT+13,Yes,35 or Over,Male,University,Postgraduate Diploma/Master's,1,4,3,3,3,2,4,2,4,3,3,4,2,2,1,4,5,4,3,3,Yes,2,Online self-paced tutorials,3.0,2.7142857142857144,3.8,3.1714285714285713
2025/10/23 5:00:23 PM GMT+13,Yes,24-26,Female,Polytechnic (Institute of Technology)/Tertiary,Bachelor's Degree,Graduate/Postgraduate,4,4,4,3,3,5,2,1,1,2,5,3,2,2,4,3,3,2,2,No,2,Online self-paced tutorials,3.5714285714285716,2.2857142857142856,2.8,2.885714285714286
2025/10/23 10:53:21 PM GMT+13,Yes,27-35,Male,Polytechnic (Institute of Technology)/Tertiary,Postgraduate Diploma/Master's,Graduate/Postgraduate,5,5,5,5,5,5,5,4,2,5,5,1,2,1,4,5,5,5,5,No,3,In-person workshops;Online self-paced tutorials;Short accredited courses;Awareness campaigns,5.0,2.857142857142857,4.8,4.219047619047619
2025/10/24 8:01:21 AM GMT+13,Yes,35 or Over,Female,University,Bachelor's Degree,Graduate/Postgraduate,5,5,5,4,3,4,4,3,5,5,5,5,5,4,5,5,5,4,5,Yes,4,Online self-paced tutorials,4.285714285714286,4.571428571428571,4.8,4.552380952380953
2025/10/24 9:18:18 AM GMT+13,Yes,27-35,Female,University,Bachelor's Degree,3,5,5,5,5,5,4,5,5,3,5,5,5,3,2,5,5,5,3,5,Yes,3,Online self-paced tutorials,4.857142857142857,4.0,4.6,4.485714285714286
2025/10/24 10:54:12 AM GMT+13,Yes,21-23,Female,University,Bachelor's Degree,3,5,5,5,4,3,4,2,2,1,1,5,1,1,1,3,5,5,1,4,No,3,Short accredited courses,4.0,1.7142857142857142,3.6,3.104761904761905
2025/10/26 10:06:33 PM GMT+13,Yes,27-35,Female,University,Postgraduate Diploma/Master's,1,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,1,1,5,1,No,1,Online self-paced tutorials,5.0,4.142857142857143,2.6,3.914285714285714
